hotel_name,rating,price,room_type,bed,amenities
CHAO Sanlitun Beijing,4.6,After tax US$492.48,Guestroom (2 beds),2 double beds,Wi-Fi in designated areas|Airport pickup service|Outdoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Bar|Café|Non-smoking floor|Luggage storage|Wake-up call|Library
"BEI Zhaolong Hotel, a Joie de Vivre hotel",4.7,After tax US$225.72,Standard Double Room,1 queen bed,Wi-Fi in designated areas|Airport pickup service|Gym|Restaurant|Front desk (24 hours)|Bar|Non-smoking floor|Currency exchange|Luggage storage|Wake-up call
Chenji Hotel (Beijing Yizhuang),4.6,After tax US$104.31,Discount Twin Room,2 single beds,Restaurant|Luggage storage|Wake-up call
Labagoumen Cloud Mountain Resort,4.2,After tax US$186.39,Cabin - 1-Room (1 living room),1 queen bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Luggage storage|Mahjong/chess/poker room|Fishing
Labagoumen Cloud Mountain Resort,4.2,After tax US$187.48,Cabin - 1-Room (1 living room),1 queen bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Luggage storage|Mahjong/chess/poker room|Fishing
Park Plaza (Beijing Science Park),4.7,After tax US$206.40,Superior Room,1 double bed or 2 single beds,Wi-Fi in designated areas|Airport pickup service|Gym|Restaurant|Front desk (24 hours)|Bar|Café|Non-smoking floor|Currency exchange|Luggage storage|Wake-up call
FX Inn (Beijing Yizhuang),4.5,After tax US$67.08,Discount Double Room,1 double bed,Wi-Fi in designated areas|Airport pickup service|Restaurant|Front desk (24 hours)|Massage|Café|Non-smoking floor|Luggage storage|Wake-up call|Teahouse
Grand Concordia Hotel,4.6,After tax US$182.32,Deluxe Twin Room,2 double beds,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Foot massage|Massage|Bar|Café|Non-smoking floor|Currency exchange|Luggage storage|Wake-up call|Teahouse|Beauty salon
Fuyuan'er Bulaotun Boutique Hostel,4.8,After tax US$319.92,Courtyard Twin Room,2 single beds,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Luggage storage|Wake-up call|Basketball|Mahjong/chess/poker room|Teahouse
Hotel New Otani Chang Fu Gong,4.7,After tax US$254.56,Superior Queen Room,1 king bed,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Massage|Sauna|Foot massage|Spa|Bar|Café|Non-smoking floor|Currency exchange|ATM|Luggage storage|Wake-up call|Table tennis|Basketball|Mahjong/chess/poker room|Beauty salon
Yuyang Hotel,4.8,After tax US$89.44,Twin Room (No window),2 single beds,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Sauna|Café|Non-smoking floor|Luggage storage|Wake-up call|Skiing|Karaoke|Billiards
Ruralscape Boutique Holiday Villa,4.6,After tax US$199.52,Garden House - 1-Room,1 queen bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Luggage storage|Wake-up call|Karaoke|Mahjong/chess/poker room
Ariva Beijing West Hotel & Serviced Apartments,4.3,After tax US$190.92,Superior Room,2 single beds,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Sauna|Spa|Massage|Non-smoking floor|Luggage storage|Wake-up call
Jinding Hongtai Hotel,4.4,After tax US$70.52,Boutique Twin Room,2 single beds,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Foot massage|Spa|Luggage storage|Wake-up call
Yuyang Hotel,4.8,After tax US$89.44,Twin Room (No window),2 single beds,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Sauna|Café|Non-smoking floor|Luggage storage|Wake-up call|Skiing|Karaoke|Billiards
Ruralscape Boutique Holiday Villa,4.6,After tax US$199.52,Garden House - 1-Room,1 queen bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Luggage storage|Wake-up call|Karaoke|Mahjong/chess/poker room
Ariva Beijing West Hotel & Serviced Apartments,4.3,After tax US$190.92,Superior Room,2 single beds,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Sauna|Spa|Massage|Non-smoking floor|Luggage storage|Wake-up call
Jinding Hongtai Hotel,4.4,After tax US$70.52,Boutique Twin Room,2 single beds,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Foot massage|Spa|Luggage storage|Wake-up call
Hotel Eclat Beijing,4.6,After tax US$440.32,Deluxe Double Room,1 king bed,Wi-Fi in designated areas|Airport pickup service|Gym|Restaurant|Front desk (24 hours)|Bar|Café|Non-smoking floor|Currency exchange|ATM|Luggage storage|Wake-up call
China World Hotel,4.7,After tax US$387,Deluxe Room King,1 king bed,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Massage|Sauna|Spa|Bar|Café|Non-smoking floor|Currency exchange|ATM|Luggage storage|Wake-up call|Sunbathing area|Table tennis|Tennis|Squash|Beauty salon
Vangen,4.9,After tax US$364.64,Suite (2 beds),2 single beds,Wi-Fi in designated areas|Airport pickup service|Restaurant|Front desk (24 hours)|Non-smoking floor|Luggage storage|Wake-up call
Horticultural Homestay,4.8,After tax US$103.20,Standard Room,2 single beds,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Non-smoking floor|Luggage storage|Wake-up call|Basketball|Mahjong/chess/poker room|Teahouse|Library|Designated Smoking Area
Beijing Libang Garden Town homestay Resort,4.7,After tax US$98.04,Standard Room (2 beds),2 single beds,Wi-Fi in designated areas|Restaurant|Luggage storage|Wake-up call|Billiards|Basketball|Mahjong/chess/poker room|Teahouse|Designated Smoking Area
The Great Wall Hotel Beijing,4.4,After tax US$166.84,Deluxe Room,1 queen bed or 2 single beds,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Sauna|Café|Non-smoking floor|Currency exchange|ATM|Luggage storage|Wake-up call|Table tennis|Beauty salon
Beijing Libang Garden Town homestay Resort,4.7,After tax US$98.04,Standard Room (2 beds),2 single beds,Wi-Fi in designated areas|Restaurant|Luggage storage|Wake-up call|Billiards|Basketball|Mahjong/chess/poker room|Teahouse|Designated Smoking Area
The Great Wall Hotel Beijing,4.4,After tax US$166.84,Deluxe Room,1 queen bed or 2 single beds,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Sauna|Café|Non-smoking floor|Currency exchange|ATM|Luggage storage|Wake-up call|Table tennis|Beauty salon
Rezen Retreat Chestnut Valley (Beijing Huairou),4.5,After tax US$256.28,Deluxe Double Room,1 king bed,Wi-Fi in designated areas|Airport pickup service|Restaurant|Front desk (24 hours)|Café|Non-smoking floor|Luggage storage|Wake-up call|Table tennis|Library
Star World Iternational  Hotel Sanlitun,4.3,After tax US$182.32,Fashionable Boutique Room (Double bed),1 double bed,Wi-Fi in designated areas|Airport pickup service|Restaurant|Front desk (24 hours)|Massage|Bar|Luggage storage|Wake-up call
Xiyuan Hotel Beijing,4.4,After tax US$184.04,Main Building Standard King Room,1 queen bed,Wi-Fi in designated areas|Gym|Restaurant|Front desk (24 hours)|Café|Non-smoking floor|Currency exchange|ATM|Luggage storage|Wake-up call|Designated Smoking Area
Morden Star Hotel,4.2,soldOut,Main Building Standard King Room,1 queen bed,Wi-Fi in designated areas|Front desk (24 hours)|Luggage storage|Wake-up call|Teahouse
Yunduan Lianxigu Hostel,4.6,After tax US$309.60,Guestroom (Double bed),1 king bed,Wi-Fi in designated areas|Outdoor swimming pool|Restaurant|Non-smoking floor|Luggage storage|Wake-up call|Sunbathing area|Karaoke|Library
East Sacred Hotel (Beijing Tian'anmen Wangfujing),4.5,After tax US$211.56,Deluxe Double Room,1 queen bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Café|Non-smoking floor|Luggage storage|Wake-up call|Designated Smoking Area
Bake Gongshe Hotel,4.5,After tax US$116.96,Cabin,1 double bed,Wi-Fi in designated areas|Airport pickup service|Restaurant|Front desk (24 hours)|Bar|Café|Non-smoking floor|Luggage storage|Wake-up call|Karaoke|Table tennis|Mahjong/chess/poker room|Teahouse|Fishing|Game room
Gotel Capital,4.5,After tax US$123.84,Classic Double Room,1 double bed,Wi-Fi in designated areas|Airport pickup service|Restaurant|Front desk (24 hours)|Bar|Café|Non-smoking floor|Luggage storage|Wake-up call|Teahouse
East Sacred Hotel (Beijing Tian'anmen Wangfujing),4.5,After tax US$211.56,Deluxe Double Room,1 queen bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Café|Non-smoking floor|Luggage storage|Wake-up call|Designated Smoking Area
Bake Gongshe Hotel,4.5,After tax US$116.96,Cabin,1 double bed,Wi-Fi in designated areas|Airport pickup service|Restaurant|Front desk (24 hours)|Bar|Café|Non-smoking floor|Luggage storage|Wake-up call|Karaoke|Table tennis|Mahjong/chess/poker room|Teahouse|Fishing|Game room
Gotel Capital,4.5,After tax US$123.84,Classic Double Room,1 double bed,Wi-Fi in designated areas|Airport pickup service|Restaurant|Front desk (24 hours)|Bar|Café|Non-smoking floor|Luggage storage|Wake-up call|Teahouse
Hilton Beijing Wangfujing,4.6,After tax US$321.64,Deluxe King Room,1 king bed,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Massage|Spa|Bar|Café|Non-smoking floor|Currency exchange|ATM|Luggage storage|Wake-up call|Teahouse|Library
Toease,4.9,After tax US$123.84,Courtyard 9 Room - with View,1 queen bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Luggage storage|Wake-up call
Hotel MoMc,4.7,After tax US$237.36,Courtyard 9 Room - with View,1 queen bed,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Bar|Café|Non-smoking floor|Luggage storage|Wake-up call|Teahouse|Library
Lee Garden Service Apartments,4.6,After tax US$337.12,Studio Suite,1 queen bed,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Sauna|Café|Non-smoking floor|ATM|Luggage storage|Wake-up call
Oakwood Residence Damei Beijing,4.6,After tax US$344,Deluxe Room,1 king bed,Wi-Fi in designated areas|Airport Shuttle Service|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Hot spring|Bar|Café|Non-smoking floor|Luggage storage|Wake-up call|Teahouse|Beauty salon
Chongwenmen Hotel,4.6,After tax US$149.64,Deluxe Standard Room,2 single beds,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Bar|Non-smoking floor|Luggage storage|Wake-up call
Excemon Beijing Hongxiang Hotel,4.2,After tax US$110.08,Superior Standard Room,2 single beds,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Café|Non-smoking floor|Currency exchange|ATM|Luggage storage|Wake-up call|Beauty salon
Chongwenmen Hotel,4.6,After tax US$150.51,Deluxe Standard Room,2 single beds,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Bar|Non-smoking floor|Luggage storage|Wake-up call
Excemon Beijing Hongxiang Hotel,4.2,After tax US$110.72,Superior Standard Room,2 single beds,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Café|Non-smoking floor|Currency exchange|ATM|Luggage storage|Wake-up call|Beauty salon
Grand Mercure Beijing Dongcheng,4.5,After tax US$195.49,Grand Deluxe with Twin Room,2 single beds,Wi-Fi in designated areas|Airport pickup service|Gym|Restaurant|Bar|Café|Non-smoking floor|Currency exchange|ATM|Luggage storage|Wake-up call|Karaoke|Mahjong/chess/poker room|Teahouse|Nightclub
Jingyuan Inn Beijing,4.9,After tax US$95.15,Standard Room,2 single beds,Wi-Fi in designated areas|Front desk (24 hours)|Luggage storage
Aman Summer Palace,4.6,"After tax US$1,844.18",Suite,1 queen bed,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Massage|Sauna|Foot massage|Spa|Bar|Café|Non-smoking floor|Currency exchange|Luggage storage|Wake-up call|Table tennis|Squash|Beauty salon|Library
Yingxiangcheng Hotel (Beijing Wangfujing),4.8,After tax US$119.37,"Guestroom (Double bed) (Special promotion, no window)",1 queen bed,Wi-Fi in designated areas|Airport pickup service|Gym|Restaurant|Non-smoking floor|Currency exchange|Luggage storage|Wake-up call|Designated Smoking Area
Capital Hotel,4.6,After tax US$193.76,Superior Room (Villa b),1 queen bed or 2 single beds,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Bar|Café|Non-smoking floor|Currency exchange|Luggage storage|Wake-up call|Teahouse
Xiangdongfang Garden International Hotel,4.4,After tax US$198.95,Superior Twin Bed,2 single beds,Wi-Fi in designated areas|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Sauna|Hot spring|Spa|Non-smoking floor|Currency exchange|Luggage storage|Wake-up call|Karaoke|Teahouse
R-KISS Fashionable Hotel,4.5,After tax US$181.65,Romantic Experience Room (No window),1 double bed,Wi-Fi in designated areas|Airport pickup service|Restaurant|Front desk (24 hours)|Bar|Café|Luggage storage|Wake-up call
The Great Wall Old Courtyard Ancient Inn,4.7,After tax US$207.60,Family Four-person Room,2 queen beds,Wi-Fi in designated areas|Airport pickup service|Front desk (24 hours)|Luggage storage|Wake-up call
R-KISS Fashionable Hotel,4.5,After tax US$181.65,Romantic Experience Room (No window),1 double bed,Wi-Fi in designated areas|Airport pickup service|Restaurant|Front desk (24 hours)|Bar|Café|Luggage storage|Wake-up call
The Great Wall Old Courtyard Ancient Inn,4.7,After tax US$207.60,Family Four-person Room,2 queen beds,Wi-Fi in designated areas|Airport pickup service|Front desk (24 hours)|Luggage storage|Wake-up call
Beijing Continental Grand Hotel,4.4,After tax US$750.82,Deluxe Double Room,1 queen bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Massage|Bar|Café|Non-smoking floor|Currency exchange|Luggage storage|Wake-up call|Karaoke|Teahouse|Beauty salon
Yijia Hotel Beijing,4.1,After tax US$108.99,Deluxe Double Room,1 queen bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Non-smoking floor|Luggage storage|Wake-up call
Foreign Experts Building,4.4,After tax US$242.20,Standard Twin Room,2 single beds,Wi-Fi in designated areas|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Sauna|Bar|Café|Non-smoking floor|ATM|Luggage storage|Wake-up call|Tennis|Beauty salon
Jingguang Center Apartment Hotel,4.2,After tax US$240.47,One-Bedroom Suite,1 double bed,Wi-Fi in designated areas|Gym|Restaurant|Front desk (24 hours)|Sauna|Bar|Café|Non-smoking floor|Currency exchange|ATM|Luggage storage|Wake-up call
The Opposite House,4.6,After tax US$626.26,Studio 45,1 queen bed,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Bar|Café|Non-smoking floor|Currency exchange|Luggage storage|Wake-up call
Holiday Inn Express Beijing Temple of Heaven,4.6,After tax US$140.13,Selected Standard Double Room,1 double bed,Wi-Fi in designated areas|Gym|Restaurant|Front desk (24 hours)|Non-smoking floor|Currency exchange|Luggage storage|Wake-up call
Tylfull Hotel Beijing,4.9,After tax US$368.49,Deluxe Double Room,1 king bed,Wi-Fi in designated areas|Airport Shuttle Service|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Spa|Bar|Café|Non-smoking floor|Luggage storage|Wake-up call|Mahjong/chess/poker room|Beauty salon
Floral GuBeiYueHai Hotel,4.5,After tax US$145.32,Standard Room,2 single beds,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Bar|Non-smoking floor|Luggage storage|Wake-up call|Teahouse|Designated Smoking Area
Tylfull Hotel Beijing,4.9,After tax US$368.49,Deluxe Double Room,1 king bed,Wi-Fi in designated areas|Airport Shuttle Service|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Spa|Bar|Café|Non-smoking floor|Luggage storage|Wake-up call|Mahjong/chess/poker room|Beauty salon
Floral GuBeiYueHai Hotel,4.5,After tax US$145.32,Standard Room,2 single beds,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Bar|Non-smoking floor|Luggage storage|Wake-up call|Teahouse|Designated Smoking Area
Starway Hotel (Beijing Shunyi Modern Auto City),4.6,After tax US$124.56,Double Room,1 double bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Luggage storage|Wake-up call
Hepingli Traveler Inn,4.6,After tax US$117.64,Business City-view Queen Room,1 queen bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Non-smoking floor|Luggage storage|Wake-up call|Teahouse
Beijing Joyous Garden,4.8,After tax US$323.51,Standard Room,2 single beds,Wi-Fi in designated areas|Airport pickup service|Restaurant|Front desk (24 hours)|Massage|Sauna|Hot spring|Foot massage|Spa|Café|Non-smoking floor|Luggage storage|Wake-up call|Mahjong/chess/poker room|Teahouse|Beauty salon|Library|Designated Smoking Area
Oak Chateau Beijing,4.6,After tax US$228.36,Superior Room,1 king bed,Wi-Fi in designated areas|Airport pickup service|Gym|Restaurant|Front desk (24 hours)|Spa|Massage|Non-smoking floor|Luggage storage|Wake-up call
Qinfu Hotel,4.8,After tax US$100.34,Chinese-Style Room - Courtyard-View (Double bed),1 double bed,Wi-Fi in designated areas|Airport pickup service|Front desk (24 hours)|Non-smoking floor|Currency exchange|Luggage storage|Wake-up call|Teahouse|Designated Smoking Area
Baozhigu International Convention Center Beijing,4.8,After tax US$198.95,Chinese-Style Room - Courtyard-View (Double bed),1 double bed,Wi-Fi in designated areas|Airport pickup service|Gym|Restaurant|Front desk (24 hours)|Luggage storage|Wake-up call|Table tennis|Billiards|Basketball|Mahjong/chess/poker room
Red Hotel,4.7,After tax US$129.75,Chinese-Style Room - Courtyard-View (Double bed),1 double bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Non-smoking floor|Luggage storage|Wake-up call
Reginwood Pine Valley Leisure Fitness Club,4.3,After tax US$212.79,Standard Room,2 single beds,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Hot spring|Foot massage|Spa|Café|Non-smoking floor|ATM|Luggage storage|Wake-up call|Golf course|Karaoke|Table tennis|Billiards|Mahjong/chess/poker room|Teahouse
Reginwood Pine Valley Leisure Fitness Club,4.3,After tax US$212.79,Standard Room,2 single beds,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Hot spring|Foot massage|Spa|Café|Non-smoking floor|ATM|Luggage storage|Wake-up call|Golf course|Karaoke|Table tennis|Billiards|Mahjong/chess/poker room|Teahouse
Yu Yang Hotel,4.3,After tax US$245.66,Standard Double Room,1 double bed,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Restaurant|Front desk (24 hours)|Sauna|Bar|Café|Non-smoking floor|Currency exchange|ATM|Luggage storage|Wake-up call|Karaoke
COTO Modern Hotel (Beijing Guozhan),4.5,After tax US$76.12,Discount Queen Room,1 double bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Non-smoking floor|Luggage storage|Wake-up call
Beijing Commercial Business Hotel,4.7,After tax US$159.16,Discount Queen Room,1 double bed,Wi-Fi in designated areas|Gym|Restaurant|Front desk (24 hours)|Non-smoking floor|Currency exchange|ATM|Luggage storage|Wake-up call|Teahouse
Shanshui Trends Hotel (Beijing Shaoyaoju Olympic Sports Center),4.6,After tax US$102.07,Superior Double Room (No window),1 double bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Non-smoking floor|Luggage storage|Wake-up call|Designated Smoking Area
chadaoguyi,4.8,After tax US$190.30,Courtyard Room (Double bed),1 queen bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Non-smoking floor|Luggage storage|Wake-up call|Mahjong/chess/poker room|Teahouse|Designated Smoking Area
Laurel Hotel,4.4,After tax US$124.56,Courtyard Room (Double bed),1 queen bed,Wi-Fi in designated areas|Gym|Restaurant|Front desk (24 hours)|Non-smoking floor|ATM|Luggage storage|Wake-up call|Karaoke|Mahjong/chess/poker room|Nightclub|Designated Smoking Area
Shanshi Xiaozhu Hotel,4.9,After tax US$150.51,Courtyard Room (Double bed),1 double bed,Wi-Fi in designated areas|Airport pickup service|Restaurant|Front desk (24 hours)|Non-smoking floor|Currency exchange|Luggage storage|Wake-up call
Maite'er Boutique Hotel,4.5,After tax US$91.69,Featured Boutique Room (Double bed) (No window),1 double bed,Wi-Fi in designated areas|Front desk (24 hours)|Non-smoking floor|Luggage storage|Wake-up call
Sicilia Villa & Resort,4.7,After tax US$209.33,Deluxe Standard Room,2 single beds,Wi-Fi in designated areas|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Luggage storage|Wake-up call|Table tennis|Billiards|Squash|Mahjong/chess/poker room
Shanshi Xiaozhu Hotel,4.9,After tax US$151.38,Courtyard Room (Double bed),1 double bed,Wi-Fi in designated areas|Airport pickup service|Restaurant|Front desk (24 hours)|Non-smoking floor|Currency exchange|Luggage storage|Wake-up call
Maite'er Boutique Hotel,4.5,After tax US$92.22,Featured Boutique Room (Double bed) (No window),1 double bed,Wi-Fi in designated areas|Front desk (24 hours)|Non-smoking floor|Luggage storage|Wake-up call
Sicilia Villa & Resort,4.7,After tax US$210.54,Deluxe Standard Room,2 single beds,Wi-Fi in designated areas|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Luggage storage|Wake-up call|Table tennis|Billiards|Squash|Mahjong/chess/poker room
